Name,Website,Aliases,Description,Related Symptom 1,Related Symptom 2,Related Symptom 3,Related Symptom 4
腰椎间盘突出,https://jbk.39.net/yzjptc/,(椎间盘突出，腰间...),腰椎间盘突出可以分为：膨出、突出、脱出三种。腰椎间盘突出症是西医的诊断，中医没有此病名。而是把该症统归于“腰痛”、“腰腿痛”这一范畴内。本病是临床上较为常见的腰部疾患之一，是骨伤科的常见病、多发病...,腰椎退化,腰酸,脊柱退变,椎间盘退行性变
痔疮,https://jbk.39.net/zc/,(痔核，痔病，痔疾...),痔疮是人体直肠末端粘膜下和肛管皮肤下静脉丛发生扩张和屈曲所形成的柔软静脉团。多见于经常站立者和久坐者。痔疮包括内痔、外痔、混合痔，是肛门直肠底部及肛门粘膜的静脉丛发生曲张而形成的一个或多个柔软的静...,炎性外痔,静脉曲张性外痔,痔块脱垂,痔出血
阳痿,https://jbk.39.net/yw/,"(勃起功能障碍,勃...)",阳痿是最常见的男子性功能障碍性疾病，简称ED。是指男性在性生活时，阴茎不能达到或维持足够勃起，未能完成满意的性生活，且病程持续三个月以上。主要表现为在性交开始阶段勃起缓慢或者难以勃起；有时虽然勃起了...,心理性性功能障碍,男子性功能障碍,性欲减退,雄激素过少
乳腺增生,https://jbk.39.net/rxzs/,"(乳房囊性增生病,...)",乳腺增生是女性最常见的乳房疾病，其发病率占乳腺疾病的首位。近些年来该病发病率呈逐年上升的趋势，年龄也越来越低龄化。乳腺增生症是正常乳腺小叶生理性增生与复旧不全，乳腺正常结构出现紊乱，属于病理性增生...,经期前乳房痛,腋窝痛,乳腺囊性增生,乳腺小叶增生
冠心病,https://jbk.39.net/gxb/,(冠状动脉粥样硬化...),冠心病是冠状动脉性心脏病的简称，亦称缺血性心脏病。是一种由冠状动脉器质性狭窄或阻塞（即动脉粥样硬化或动力性血管痉挛），引起的心肌缺血缺氧或心肌坏死的心脏病。多发于40岁以后，在日常生活中经常可见到。...,劳动耐力下降,胸骨后疼痛,胸闷,劳累后心悸
乙肝,https://jbk.39.net/yg/,(乙型肝炎 ),乙肝(viral hepatitis type B，又称乙型病毒性肝炎)系由乙肝病毒(HBV)引起，临床表现为：乏力、食欲减退、恶心、呕吐、厌油、肝大及肝功能异常。发展中国家发病率高，多数无症状，其中1/3出现肝损害的临床表现。据统计，全...,大三阳,小三阳,转氨酶增高,肝肿大
艾滋病,https://jbk.39.net/azb/,(获得性免疫缺陷综...),艾滋病又称为获得性免疫陷综合征（AIDS），是因感染人类免疫缺陷病毒（Human Immunodeficiency Virus，HIV）后导致免疫缺陷，并发一系列机会性感染及肿瘤，严重者可导致死亡的综合征。临床上主要表现为发热、咽痛、头痛、皮...,不明原因发热,关节疼痛,免疫力降低,HIV感染
荨麻疹,https://jbk.39.net/xmz/,(风团，瘾疹),荨麻疹(Urticaria)俗称风团、风疹、风疙瘩、风疹块，是一种常见的皮肤病。荨麻疹是由于各种因素致使皮肤粘膜血管发生暂时性炎性充血与大量液体渗出而造成局部水肿性的损害，典型表现是局部或全身出现大小不等的风团...,皮肤发红,剧痒,全身皮肤充血,皮肤有压痕
痛风,https://jbk.39.net/tf/,"(关节石病,尿酸盐...)",痛风(gout)是一种由于嘌呤生物合成代谢增加，尿酸产生过多或因尿酸排泄不良而致血中尿酸升高，尿酸盐结晶沉积在关节滑膜、滑囊、软骨及其他组织中引起的反复发作性炎性疾病。首次发作多侵犯单关节，常见第一跖趾关...,第1跖趾关节疼痛和肿大,关节疼痛,关节肿胀,关节畸形
肾结石,https://jbk.39.net/sjs1/,"(肾石病,肾石，肾...)",肾结石(calculus of kidney)指发生于肾盏、肾盂及肾盂与输尿管连接部的结石。肾是泌尿系统形成结石的主要部位，其他任何部位的结石都可以原发于肾脏，输尿管结石几乎均来自肾脏，而且肾结石比其他任何部位结石更易直接...,肾盏结石,腰部钝痛,突发性绞痛,尿隐血
慢性胃炎,https://jbk.39.net/mxwy/,"(慢性肠胃炎,慢性...)",慢性胃炎(chronic gestritis)系指不同病因引起的胃粘膜的慢性炎症或萎缩性病变，其实质是胃粘膜上皮遭受反复损害后，由于粘膜特异的再生能力，以致粘膜发生改建，且最终导致不可逆的固有胃腺体的萎缩，甚至消失。本病...,胃酸减少,进食呕吐,食欲较差,肠子胀气
口腔溃疡,https://jbk.39.net/kqky/,"(口疮,飞滋,口炎疮,...)","口腔溃疡，又称为“口疮”，是发生在口腔粘膜上的表浅性溃疡，大小可从米粒至黄豆大小、成圆形或卵圆形，溃疡面为凹、周围充血。溃疡具有周期性、复发性及自限性等特点,好发于唇、颊、舌缘等。病因及致病机制仍...",口腔血泡,微量元素缺少,复合性溃疡,口腔粘膜弥漫充血
细菌性阴道炎,https://jbk.39.net/xjxydy/,"(阴道炎,细菌性阴...)",细菌性阴道病主要是由阴道加特纳菌引起的一种阴道炎，可通过性关系传播。细菌性阴道病是加特纳菌、厌氧菌等增多，而乳酸杆菌减少，阴道内生态平衡系统改变而引起的疾病。其中，健康妇女阴道中也有加特纳菌寄生。...,阴道分泌物增多,排尿时外阴灼热、瘙痒或疼痛,细菌感染,阴部灼热
肩周炎,https://jbk.39.net/jzy/,"(肩关节组织炎,冻...)",肩周炎是肩关节周围肌肉、肌腱、滑囊和关节囊等软组织的慢性无菌性炎症。炎症导致关节内外粘连，从而影响肩关节的活动。其病变特点是广泛，即疼痛广泛、功能受限广泛、压痛广泛。肩周炎的全称是肩关节周围炎，本...,撞击征,凝肩,肩关节活动受限,肩膀酸疼
痛经,https://jbk.39.net/tj/,(经期疼痛),痛经(dysmenorrhea)，系指经期前后或行经期间，出现下腹部痉挛性疼痛，并有全身不适，严重影响日常生活者。分原发性和继发性两种。经过详细妇科临床检查未能发现盆腔器官有明显异常者，称原发性痛经，也称功能性痛经...,下腹痛,下腹坠胀,乳房胀痛,经期前乳房痛
