Name,Website,Aliases,Description,Related Disease 1,Related Disease 2,Related Disease 3,Related Disease 4,Related Disease 5
胃疼,https://jbk.39.net/zhengzhuang/wt/,"(胃脘痛,胃痛)",胃痛又称胃脘痛，是以胃脘近心窝处常发生疼痛为主的疾患。胃痛是临床上常见的一个症状，多见急慢性胃炎，胃、十二指肠溃疡病，胃神经宫能症。也见于胃粘膜脱垂、胃下垂、胰腺炎、胆囊炎及胆石症等病。,幽门螺杆菌感染,锰中毒,溃疡病穿孔,癌性疼痛,胃脂肪瘤
男子性功能障碍,https://jbk.39.net/zhengzhuang/nzxgnza/,(阳萎),男子性功能障碍是指男性性功能和性满足无能，常表现为性欲障碍、阳痿、早泄、遗精、不射精和逆行射精等。性行为既是本能的更是以精神心理活动为基础的生理活动，因而男子性功能障碍除部分因全身疾病和生殖系统疾...,男性急性淋病,继发性早泄,原发性早泄,肾虚,肾精亏虚
肾阴虚,https://jbk.39.net/zhengzhuang/syx/,,肾阴虚，是肾脏阴液不足表现的证候，多由久病伤肾，或禀赋不足房事过度，或过服温燥劫阴之品所致用现代说法来说，就是：肾阴虚-供给中枢神经、泌尿生殖系统的营养物质不足;通常情况下，阴虚用六味地黄丸。,不孕不育,肝火眩晕,肾虚,肾损害,肾虚腰痛
头晕,https://jbk.39.net/zhengzhuang/ty/,,"头晕英文是dizziness, 是一种常见的脑部功能性障碍，也是临床常见的症状之一。为头昏、头胀、头重脚轻、脑内摇晃、眼花等的感觉。",春困,淋病后综合征,慢性便秘,交感神经型颈椎病,痰饮
瘙痒,https://jbk.39.net/zhengzhuang/sy/,"(痒风,刀癣,风瘙痒)",瘙痒（pruritus）是一种可经引起立即进行搔抓愿望的主观感觉。是皮肤病最常见的共同症状。由于各种皮扶病的不同和个体第三度的不同，瘙痒的严重和度可轻可重，可边发性，音断性和持续性；也可是局限性，泛发性或全...,糜烂型脚气,女性急性淋病,男性慢性淋病,水源性荨麻疹,血清病性荨麻疹
肚子疼,https://jbk.39.net/zhengzhuang/ft/,(腹痛),腹痛为临床常见症状之一，可表现为急性或慢性，其病因复杂，多数为器质性，也可为功能性；多为腹腔内器官病变起，也可为腹腔外器官病变所致，因此在诊断时要全面考虑，详细分析病史及各项检查结果。,小肠梗阻,肝炎后肝硬化,夏季感冒,胆碱能性荨麻疹,卵巢炎
白带,https://jbk.39.net/zhengzhuang/bd/,,白带过多是妇科临床最常见的一种症状，指阴道分泌物的增加。许多人因自带过多而就诊。但对白带的敏感性却因人而异，差别很大。有些妇女虽有大量白带，但无任何不适感觉，而另一些人则虽生殖道分泌物正常或仅稍增...,带下病,子宫内膜结核,慢性盆腔炎,避孕后闭经综合征,盆腔淤血综合征
白带增多,https://jbk.39.net/zhengzhuang/bdzd/,,"白带是女性阴道分泌物。正常女性的白带是一种无气味,微酸性的粘稠物,具有湿润阴道、排泄废物,抑制病原菌生长的作用,属于正常生理现象。健康妇女白带增多与体内雌激素水平增高成正比。如排卵期或妊娠期白带增多,在...",女性慢性淋病,子宫炎,重度宫颈糜烂,中度宫颈糜烂,轻度宫颈糜烂
心悸,https://jbk.39.net/zhengzhuang/xj/,(心慌),所谓心悸，也就是通常所说的心慌，乃是由于人们主观感觉上对心脏跳动的一种不适感觉。心悸可以由于心脏活动的频率、节律或收缩强度的改变而导致，也可以在心脏活动完全正常的情况下产生，后者系因人们对自己心脏...,痰饮,心脏病,血虚眩晕,心咳,虚劳
甲状腺结节,https://jbk.39.net/zhengzhuang/jzxjj/,,甲状腺结节是一种非常常见的症状，特别是在中年女性中较多见。甲状腺结节分良性及恶性两大类，良性结节占绝大多数，恶性结节不足1%。临床上有多种甲状腺疾病，如甲状腺退行性变、炎症、自身免疫以及新生物等都可...,甲亢,甲状腺微小癌,亚急性甲状腺炎,甲状腺癌,家族性甲状腺非髓样癌
